Empresa,Nombre completo,Categoria,Producto,Reemplazo,Precio
Óptica Universitaria,1-DAY™ ACUVUE™ MOIST ASTIGMATISMO 30 UNIDADES DIARIA,Lentes de Contacto,Acuvue,Diarias,31.0
Óptica Universitaria,1-DAY™ ACUVUE™ OASYS ASTIGMATISMO 30 UNIDADES DIARIA,Lentes de Contacto,Acuvue,Diarias,36.0
Óptica Universitaria,1-DAY™ ACUVUE™ MOIST ASTIGMATISMO 90 UNIDADES DIARIA,Lentes de Contacto,Acuvue,Diarias,76.0
Óptica Universitaria,1-DAY™ ACUVUE™ MOIST MULTIFOCAL 30 UNIDADES DIARIA,Lentes de Contacto,Acuvue,Diarias,33.0
Óptica Universitaria,1-DAY™ ACUVUE™ MOIST MULTIFOCAL 90 UNIDADES DIARIA,Lentes de Contacto,Acuvue,Diarias,79.0
Óptica Universitaria,LENTILLAS FANTASIA CRAZY LENS 2 UNIDADES SEMANAL,Lentes de Contacto,Disop,Diarias,15.0
Óptica Universitaria,TOTAL30™ SILICONA 6 UNIDADES MENSUAL,Lentes de Contacto,total 30,Mensual,45.0
Óptica Universitaria,ACUVUE™ OASYS MULTIFOCAL 6 UNIDADES Quincenales,Lentes de Contacto,Acuvue,Quincenal,45.0
Óptica Universitaria,ACUVUE™ OASYS TRANSITIONS 6 UNIDADES QUINCENALES FOTOCROMATICAS,Lentes de Contacto,Acuvue,Quincenal,39.0
Óptica Universitaria,ACUVUE™ OASYS 12 UNIDADES QUINCENALES,Lentes de Contacto,Acuvue,Quincenal,45.0
Óptica Universitaria,ACUVUE™ OASYS 6 UNIDADES Quincenales,Lentes de Contacto,Acuvue,Quincenal,29.0
Óptica Universitaria,ACUVUE™ OASYS ASTIGMATISMO 6 UNIDADES QUINCENALES,Lentes de Contacto,Acuvue,Quincenal,34.0
