,Empresa,Nombre completo,Categoria,Producto,Reemplazo,Precio
15,Óptica Universitaria,DAILIES™ AQUACOMFORT™ PLUS ASTIGMATISMO 90 UNIDADES DIARIA,Lentes de contacto,Dailies,Diarias,85.0
16,Óptica Universitaria,DAILIES™ AQUACOMFORT™ PLUS MULTIFOCAL 90 UNIDADES DIARIA,Lentes de contacto,Dailies,Diarias,95.0
17,Óptica Universitaria,LENTSOFT DIARIA CONFORT+ SILICONA 30 UNIDADES,Lentes de contacto,Marca Propia,Diarias,19.0
18,Óptica Universitaria,LENTSOFT DIARIA CONFORT+ SILICONA ASTIGMATISMO 30 UNIDADES,Lentes de contacto,Marca Propia,Diarias,31.0
19,Óptica Universitaria,LENTSOFT DIARIA CONFORT+ SILICONA MULTIFOCAL 30 UNIDADES,Lentes de contacto,Marca Propia,Diarias,33.0
20,Óptica Universitaria,DAILIES™ TOTAL1™ ASTIGMATISMO 30 UNIDADES DIARIAS,Lentes de contacto,total 30,Diarias,49.0
21,Óptica Universitaria,DAILIES™ TOTAL1™ ASTIGMATISMO 90 UNIDADES DIARIAS,Lentes de contacto,total 30,Diarias,127.0
22,Óptica Universitaria,ACUVUE® OASYS MAX MULTIFOCAL 1-Day 30 UNIDADES ,Lentes de contacto,Acuvue,Diarias,44.0
23,Óptica Universitaria,LENTSOFT DIARIA HIDROGEL 90 UNIDADES (3x30 UNIDADES),Lentes de contacto,Marca Propia,Diarias,44.0
24,Óptica Universitaria,AIR OPTIX™ PLUS HYDRAGLYDE™ 6 UNIDADES MENSUAL,Lentes de contacto,Air Optix,Mensual,31.0
25,Óptica Universitaria,AIR OPTIX™ PLUS HYDRAGLYDE™ ASTIGMATISMO 6 UNIDADES MENSUAL,Lentes de contacto,Air Optix,Mensual,59.0
26,Óptica Universitaria,LENTSOFT MENSUAL CONFORT+ SILICONA ASTIGMATISMO 6 UNIDADES,Lentes de contacto,Marca Propia,Mensual,49.0
27,Óptica Universitaria,LENTSOFT MENSUAL CONFORT+ SILICONA MULTIFOCAL 6 UNIDADES,Lentes de contacto,Marca Propia,Mensual,49.0
28,Óptica Universitaria,LENTSOFT MENSUAL SILICONA 6 UNIDADES,Lentes de contacto,Marca Propia,Mensual,27.0
29,Óptica Universitaria,LENTSOFT MENSUAL SILICONA ASTIGMATISMO 6 UNIDADES,Lentes de contacto,Marca Propia,Mensual,49.0
30,Óptica Universitaria,LENTSOFT MENSUAL CONFORT+ SILICONA 6 UNIDADES,Lentes de contacto,Marca Propia,Mensual,29.0
31,Óptica Universitaria,LENTSOFT MENSUAL SILICONA MULTIFOCAL XR 6 UDS,Lentes de contacto,Marca Propia,Mensual,84.0
32,Óptica Universitaria,LENTSOFT MENSUAL SILICONA  MULTIFOCAL ASTIGMATISMO XR 6 UDS,Lentes de contacto,Marca Propia,Mensual,89.0
33,Óptica Universitaria,LENTSOFT MENSUAL SILICONA XR 6 UNIDADES,Lentes de contacto,Marca Propia,Mensual,68.0
34,Óptica Universitaria,LENTSOFT MENSUAL SILICONA ASTIGMATISMO XR 6 UDS,Lentes de contacto,Marca Propia,Mensual,84.0
35,Óptica Universitaria,LENTSOFT MENSUAL HIDROGEL ASTIGMATISMO 6 uni.,Lentes de contacto,Marca Propia,Mensual,44.0
36,Óptica Universitaria,LENTSOFT MENSUAL HIDROGEL 6 uni.,Lentes de contacto,Marca Propia,Mensual,19.0
37,Óptica Universitaria,BIOFINITY™ XR ASTIGMATISMO MULTIFOCAL 3 UNIDADES MENSUAL,Lentes de contacto,Biofinity,Mensual,59.0
38,Óptica Universitaria,BIOFINITY™ 6 UNIDADES MENSUAL,Lentes de contacto,Biofinity,Mensual,37.0
39,Óptica Universitaria,BIOFINITY ASTIGMATISMO 6 UNIDADES MENSUAL,Lentes de contacto,Biofinity,Mensual,59.0
40,Óptica Universitaria,AIR OPTIX™ PLUS HYDRAGLYDE™ MULTIFOCAL 6 UNIDADES MENSUAL,Lentes de contacto,Air Optix,Mensual,59.0
41,Óptica Universitaria,ACUVUE™ VITA ASTIGMATISM 6 UNIDADES MENSUAL,Lentes de contacto,Acuvue,Mensual,50.0
42,Óptica Universitaria,LENTSOFT MENSUAL SILICONA MULTIFOCAL 6 UNIDADES,Lentes de contacto,Marca Propia,Mensual,49.0
43,Óptica Universitaria,FRESHLOOK™ COLORBLENDS™ 2 UNIDADES MENSUAL,Lentes de contacto,Freshlook,Mensual,22.0
44,Óptica Universitaria,AIR OPTIX™ COLORS GRADUADO 2 UNIDADES MENSUAL,Lentes de contacto,Air Optix colors,Mensual,28.0
45,Óptica Universitaria,AIR OPTIX™ COLORS 2 UNIDADES MENSUAL,Lentes de contacto,Air Optix colors,Mensual,28.0
46,Óptica Universitaria,ACUVUE™ VITA 6 UNIDADES MENSUAL,Lentes de contacto,Acuvue,Mensual,32.0
47,Óptica Universitaria,LENTILLA GRADUADA FANTASIA RX 1 UNIDAD MENSUAL,Lentes de contacto,Servilens,Mensual,22.0
48,Óptica Universitaria,DAILIES™ AQUACOMFORT™ PLUS ASTIGMATISMO 30 UNIDADES DIARIA,Lentes de contacto,Dailies,Diarias,29.0
49,Óptica Universitaria,LENTSOFT DIARIA HIDROGEL 30 UNIDADES,Lentes de contacto,Marca Propia,Diarias,15.9
50,Óptica Universitaria,1-DAY™ ACUVUE™ MOIST 30 UNIDADES DIARIA,Lentes de contacto,Acuvue,Diarias,24.0
51,Óptica Universitaria,1-DAY™ ACUVUE™ MOIST 90 UNIDADES DIARIA,Lentes de contacto,Acuvue,Diarias,65.0
52,Óptica Universitaria,1-DAY™ ACUVUE™ OASYS 30 UNIDADES DIARIA,Lentes de contacto,Acuvue,Diarias,30.0
53,Óptica Universitaria,1-DAY™ ACUVUE™ OASYS 90 UNIDADES DIARIA,Lentes de contacto,Acuvue,Diarias,74.0
54,Óptica Universitaria,LENTSOFT DIARIA SILICONA ASTIGMATISMO 30 UNIDADES,Lentes de contacto,Marca Propia,Diarias,31.0
55,Óptica Universitaria,LENTSOFT DIARIA SILICONA MULTIFOCAL 30 UNIDADES,Lentes de contacto,Marca Propia,Diarias,36.0
56,Óptica Universitaria,1-DAY™ ACUVUE™ MOIST ASTIGMATISMO 30 UNIDADES DIARIA,Lentes de contacto,Acuvue,Diarias,31.0
57,Óptica Universitaria,1-DAY™ ACUVUE™ OASYS ASTIGMATISMO 30 UNIDADES DIARIA,Lentes de contacto,Acuvue,Diarias,36.0
58,Óptica Universitaria,1-DAY™ ACUVUE™ MOIST ASTIGMATISMO 90 UNIDADES DIARIA,Lentes de contacto,Acuvue,Diarias,76.0
59,Óptica Universitaria,1-DAY™ ACUVUE™ MOIST MULTIFOCAL 30 UNIDADES DIARIA,Lentes de contacto,Acuvue,Diarias,33.0
60,Óptica Universitaria,1-DAY™ ACUVUE™ MOIST MULTIFOCAL 90 UNIDADES DIARIA,Lentes de contacto,Acuvue,Diarias,79.0
61,Óptica Universitaria,LENTILLAS FANTASIA CRAZY LENS 2 UNIDADES SEMANAL,Lentes de contacto,Disop,Diarias,15.0
62,Óptica Universitaria,TOTAL30™ SILICONA 6 UNIDADES MENSUAL,Lentes de contacto,total 30,Mensual,45.0
63,Óptica Universitaria,ACUVUE™ OASYS MULTIFOCAL 6 UNIDADES Quincenales,Lentes de contacto,Acuvue,Quincenal,45.0
64,Óptica Universitaria,ACUVUE™ OASYS TRANSITIONS 6 UNIDADES QUINCENALES FOTOCROMATICAS,Lentes de contacto,Acuvue,Quincenal,39.0
65,Óptica Universitaria,ACUVUE™ OASYS 12 UNIDADES QUINCENALES,Lentes de contacto,Acuvue,Quincenal,45.0
66,Óptica Universitaria,ACUVUE™ OASYS 6 UNIDADES Quincenales,Lentes de contacto,Acuvue,Quincenal,29.0
67,Óptica Universitaria,ACUVUE™ OASYS ASTIGMATISMO 6 UNIDADES QUINCENALES,Lentes de contacto,Acuvue,Quincenal,34.0
